possessor,possessed,gender,tier,is_dialogue,example
his,lady,male,pronoun,False,"“My dear Mr. Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?”"
his,wife,male,pronoun,False,"“Do not you want to know who has taken it?” cried his wife, impatiently."
his,servant,male,pronoun,True,"“Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on"
his,name,male,pronoun,True,“What is his name?”
his,wife,male,pronoun,False,"“My dear Mr. Bennet,” replied his wife, “how can you be so tiresome?"
his,design,male,pronoun,True,“Is that his design in settling here?”
her,beauty,female,pronoun,True,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty."
her,sister,female,pronoun,True,"“They have none of them much to recommend them,” replied he: “they are all silly and ignorant like other girls; but Lizzy has something more of quickn"
his,wife,male,pronoun,False,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insuffi"
his,character,male,pronoun,False,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insuffi"
her,life,female,pronoun,False,The business of her life was to get her daughters married: its solace was visiting and news.
her,daughter,female,pronoun,False,The business of her life was to get her daughters married: its solace was visiting and news.
his,wife,male,pronoun,False,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
his,daughter,male,pronoun,False,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,-- “I hope Mr. Bingley will like it, Lizzy.”"
her,mother,female,pronoun,False,"“We are not in a way to know _what_ Mr. Bingley likes,” said her mother, resentfully, “since we are not to visit.”"
her,own,female,pronoun,True,She has two nieces of her own.
her,daughter,female,pronoun,False,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters."
her,cough,female,pronoun,True,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”"
her,father,female,pronoun,False,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”"
her,mother,female,pronoun,False,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she w"
